id_product;name;reference;price;wholesale_price;unit_price_ratio;active;shopname;id_shop_default;id_image;name_category;price_final;is_virtual;nb_downloadable;sav_quantity;badge_danger;
"1543";"Epinard feuille en Agric R à l'hectogramme (100g)";"LS-MN-KDO-NO";"0.630000";"0.470000";"0.100000";"0";"Coop La Meute";"1";"2021";"Salades";"0";"0";"";"8";"0";
"1545";"Pizza Tomate Persillade";"OF-MV-UUN-NN";"2.900000";"2.320000";"0.000000";"1";"Coop La Meute";"1";"2036";"Pains et Oeufs";"0";"0";"";"20";"0";
"1547";"Confiture Virgin Mojito 250 g";"DD-RO-UUN-NN-P";"3.900000";"3.250000";"0.000000";"0";"Coop La Meute";"1";"2037";"Confitures";"0";"0";"";"0";"1";
"1548";"Pommes Pink Lady Naturdis (au Kg)";"FP-MO-KUN-NO";"2.950000";"2.360000";"0.000000";"0";"Coop La Meute";"1";"2022";"Pommes et poires";"0";"0";"";"0";"1";
"1549";"Confiture kiwi et citron vert bio, tonka 250 g";"DD-RO-UUN-NN-P";"3.900000";"3.250000";"0.000000";"0";"Coop La Meute";"1";"2023";"Confitures";"0";"0";"";"0";"1";
"1550";"Lentilles corail VRAC- servi par unités de 350g";"VS-RN-UUN-NN-N";"1.600000";"1.280000";"0.000000";"1";"Coop La Meute";"1";"";"Accueil";"0";"0";"";"41";"0";
"1551";"VIJAYA Raisins sultanine 250g";"DF-RO-UUN-NN-P";"2.700000";"2.150000";"0.000000";"1";"Coop La Meute";"1";"2024";"Epicerie sucrée";"0";"0";"";"19";"0";
"1553";"Haricot azuki  500g MARKAL";"SR-RO-UUN-NN";"2.500000";"2.010000";"0.000000";"1";"Coop La Meute";"1";"2026";"Accueil";"0";"0";"";"7";"0";
"1554";"Pois cassés  500g MARKAL";"SR-RO-UUN-NN";"2.550000";"1.920000";"0.000000";"1";"Coop La Meute";"1";"2027";"Accueil";"0";"0";"";"4";"0";
"1556";"Crème Fraîche De Normandie 20cl Bio yo gourmand";"CR-MV-UUN-NN";"1.470000";"1.180000";"0.000000";"0";"Coop La Meute";"1";"2028";"Fromages et Crèmerie";"0";"0";"";"0";"1";
"1557";"Beurre  demi sel  125g Gaborit";"CF-RO-UUN-NN-S";"2.600000";"2.100000";"0.000000";"0";"Coop La Meute";"1";"2029";"Crèmerie";"0";"0";"";"0";"1";
"1558";"Lait UHT 1/2 écrémé  1L  Grandeur Nature";"CR-RO-UUN-NN";"1.400000";"1.110000";"0.000000";"1";"Coop La Meute";"1";"2030";"Crèmerie";"0";"0";"";"997";"0";
"1559";"Amidon de Maïs (Maizena)  250 g - Joannusmolen";"DG-RO-UUN-NN-P";"3.050000";"2.420000";"0.000000";"1";"Coop La Meute";"1";"2031";"Accueil";"0";"0";"";"6";"0";
"1560";"fleur d'oranger Cavasse 500ml";"DS-RO-UUN-NN";"8.550000";"6.830000";"0.000000";"1";"Coop La Meute";"1";"2032";"Accueil";"0";"0";"";"7";"0";
"1562";"Fromage Mozzarella de vache 125g miaterra";"CR-RO-UUN-NN";"1.450000";"1.140000";"0.000000";"1";"Coop La Meute";"1";"2033";"Fromages et Crèmerie";"0";"0";"";"999";"0";
"1563";"Fromage Parmesan  Reggiano 150g";"CF-RO-PUN-ON-S";"5.950000";"4.780000";"0.000000";"1";"Coop La Meute";"1";"2034";"Vache";"0";"0";"";"1004";"0";
"1565";"Huile Essentielle Ravintsara Biologique Florame 10ml";"SE-SI-UUN-NN-P";"8.200000";"6.540000";"0.000000";"1";"Coop La Meute";"1";"2038";"Accueil";"0";"0";"";"0";"1";
"1566";"Huile Essentielle de Thym Doux à Linalol Biologique Florame";"SE-SI-UUN-NN-P";"7.700000";"6.150000";"0.000000";"0";"Coop La Meute";"1";"2039";"Accueil";"0";"0";"";"0";"1";
"1567";"Huile Essentielle Eucalyptus Radiata Biologique Florame 10ml";"SE-SI-UUN-NN-P";"6.800000";"5.430000";"0.000000";"0";"Coop La Meute";"1";"2040";"Accueil";"0";"0";"";"0";"1";
"1568";"Huile Essentielle Pin Sylvestre Biologique Florame 10 ml";"SE-SI-UUN-NN-P";"7.550000";"6.030000";"0.000000";"1";"Coop La Meute";"1";"2041";"Accueil";"0";"0";"";"1";"0";
"1570";"Boisson riz naturel 16%";"DP-RO-UUN-NN-P";"1.400000";"1.120000";"0.000000";"1";"Coop La Meute";"1";"2044";"Laits végétaux";"0";"0";"";"15";"0";
"1571";"Vinaigre de cidre non pasteurisé  75cl";"SH-RO-UUN-NN-P";"2.550000";"2.050000";"0.000000";"1";"Coop La Meute";"1";"2045";"Huiles , Vinaigres et Condiments";"0";"0";"";"8";"0";
"1572";"Tomme de la blanche affinée au lait cru 130G pré emballé Echanges Paysans";"CR-RO-UUN-NN";"2.050000";"1.540000";"0.000000";"1";"Coop La Meute";"1";"2047";"Fromages et Crèmerie";"0";"0";"";"2";"0";
"1573";"Beurre de baratte  demi sel  250g tante helene";"CF-RO-UUN-NN-S";"3.600000";"2.880000";"0.000000";"1";"Coop La Meute";"1";"2048";"Crèmerie";"0";"0";"";"1008";"0";
"1574";"Pâte à tartiner noisette cacao sans sucres ajoutés et sans huile de palme karéléa 750g";"DC-RO-UUN-NN-P";"7.100000";"5.660000";"0.000000";"1";"Coop La Meute";"1";"2062";"Chocolat";"0";"0";"";"5";"0";
"1576";"Soude en cristaux 500g";"MX-RN-UUN-NN";"2.400000";"1.930000";"0.000000";"1";"Coop La Meute";"1";"2049";"Produits Ménagers";"0";"0";"";"4";"0";
"1577";"HUILE DE TOURNESOL 1L";"SH-RO-UUN-NN-P";"3.950000";"3.140000";"0.000000";"1";"Coop La Meute";"1";"2050";"Huiles , Vinaigres et Condiments";"0";"0";"";"6";"0";
