Fournisseur;Actif;id;CB;UPC;Produit;Réference;Categorie;Prix Achat;Prix Vente;Unité de Vente;Quantité à la vente;
"GAEC Noble";"Non";"1454";"";"";"Oignons Bronze d'Amposta BIO (au 500g)";"LB-MV-KMN-NO";"Oignons, Ail";"0.95";"1.20";"Kg";"0";
"GAEC Noble";"Non";"1776";"";"";"haricots verts bio (au100g)";"LX-MV-KDN-NO";"Légumes frais";"0.53";"0.70";"kg";"29";
"GAEC Noble";"Non";"1777";"";"";"Courgettes vertes bio au KG";"LG-MN-KUN-NO";"Légumes frais";"1.37";"1.70";"kg";"76";
"GAEC Noble";"Non";"1813";"";"";"Tomates Roma Bio au KG-";"LT-MN-KUN-NO";"Tomates";"1.42";"1.90";"";"980";
"GAEC Serre-Lions";"Non";"86";"";"";"Tomme de Vache à la portion de 200g de fromage";"CR-RO-PCN-OO-S";"Fromages et Crèmerie";"2.10";"2.50";"Kg";"1";
"GIRAUD Anne";"Oui";"1195";"";"";"Confiture de mûres bio 430 g";"DD-RO-UUN-NN-P";"Confitures";"4.50";"5.60";"";"1";
"GIRAUD Anne";"Oui";"1197";"";"";"Confiture de fraise bio 230  g";"DD-RO-UUN-NN-P";"Confitures";"3.00";"3.75";"";"2";
"GIRAUD Anne";"Oui";"1198";"";"";"Confiture de mûre bio 230 g";"DD-RO-UUN-NN-P";"Confitures";"3.00";"3.75";"";"0";
"GIRAUD Anne";"Oui";"1199";"";"";"Confiture de framboise bio 230  g";"DD-RO-UUN-NN-P";"Confitures";"3.00";"3.75";"";"0";
"GIRAUD Anne";"Oui";"1200";"";"";"Confiture de groseille bio 230  g";"DD-RO-UUN-NN-P";"Confitures";"3.00";"3.75";"";"2";
"GIRAUD Anne";"Oui";"1201";"";"";"Confiture de cassis bio 230  g";"DD-RO-UUN-NN-P";"Confitures";"3.00";"3.75";"";"0";
"GIRAUD Anne";"Oui";"1202";"";"";"Confiture de cynorhodon bio 230  g";"DD-RO-UUN-NN-P";"Confitures";"3.00";"3.75";"";"1";
"GIRAUD Anne";"Oui";"1204";"";"";"Confiture de rhubarbe/fraise bio 230  g";"DD-RO-UUN-NN-P";"Confitures";"3.00";"3.75";"";"0";
"GIRAUD Anne";"Oui";"1208";"";"";"Compote pommes framboises bio 380  g";"DD-RO-UUN-NN-P";"Compotes et Purées";"3.00";"3.75";"";"0";
"GIRAUD Anne";"Oui";"1209";"";"";"Compote pommes/mûre bio 380  g";"DD-RO-UUN-NN-P";"Compotes et Purées";"3.00";"3.75";"";"0";
"GIRAUD Anne";"Oui";"1233";"";"";"Confiture de poire/noix bio 425  g";"DD-RO-UUN-NN-P";"Confitures";"4.50";"5.60";"";"0";
