Fournisseur;Actif;id;CB;UPC;Produit;Réference;Categorie;Prix Achat;Prix Vente;Unité de Vente;Quantité à la vente;
"";"Oui";"757";"";"";"Vente flash";"ZZZ";"Accueil";"0.00";"0.00";"";"806";
"";"Non";"29";"";"";"Chou chinois  BIO à la pièce";"LC-MV-UUN-NN-P";"Choux et navets";"1.80";"2.25";"Kg";"41";
"";"Non";"36";"";"";"Riz Long    à l'hectogramme (100g)";"SR-RO-KDN-ON-P";"Pâtes, Riz, Autres céréales";"0.18";"0.22";"";"-6";
"";"Non";"41";"";"";"lentilles blondes  à l'hectogramme (100g)";"SR-RO-KDN-ON-P";"Légumes secs";"0.20";"0.25";"Kg";"4";
"";"Non";"72";"";"";"Pain Bio aux olives et aux herbes locales  (450 g)";"OP-MV-UUN-NN-S";"Pains";"1.10";"4.00";"";"0";
"";"Non";"106";"";"";"Oranges amères";"FA-MN-KUN-NO";"Agrumes";"1.00";"1.20";"Kg";"0";
"";"Non";"125";"";"";"Pain aux céréales (400g)";"OP-MV-UUN-NN-S";"Pains";"2.90";"3.30";"unité";"0";
"";"Non";"129";"";"";"Pain blanc allongé (environ 450g)";"OP-MV-UUN-NN-S";"Accueil";"2.60";"3.40";"";"0";
"";"Non";"152";"";"";"Pain Le petit épeautre (environ 500 g)";"OP-MV-UUN-NN-S";"Pains";"4.90";"5.50";"kg";"0";
"";"Non";"154";"";"";"Pain de campagne (par 500g)";"OP-MV-UUN-NN-S";"Pains";"1.55";"2.30";"kg";"0";
"";"Non";"206";"";"";"Tomates Coeur de Boeuf - Roquebrune/Argens";"LT-MV-KUN-NO-P";"Accueil";"2.90";"3.50";"";"18";
"";"Non";"222";"";"";"Courgettes longues (au kg)";"LG-MN-KUN-NO";"Accueil";"1.80";"2.25";"";"63";
"";"Non";"223";"";"";"Betteraves cuites (au kg)";"LR-MN-KUN-NO-P";"Accueil";"2.50";"3.10";"";"74";
"";"Non";"235";"";"";"Carottes sable BIO (au kg)";"LR-MO-KUN-NO";"Accueil";"1.40";"2.00";"";"0";
"";"Non";"327";"";"";"Bouchons chocolat noir au Marc de Champagne";"DC-RO-UUN-NN-P";"Chocolat";"0.00";"0.00";"";"0";
"";"Non";"408";"";"";"Boule aux céréales et aux graines au levain naturel (au kg)";"OP-MV-UUN-NN-S";"";"5.50";"6.90";"kg";"981";
"";"Non";"438";"";"";"Vinaigre Larzamique à la Fleur de Sureau.   Exceptionnel";"SS-RO-UUN-NN-P";"Huiles , Vinaigres et Condiments";"6.45";"7.90";"";"1";
"";"Non";"439";"";"";"Vinaigre Larzamique à la Rose.  Exceptionnel. ";"SS-RO-UUN-NN-P";"Accueil";"6.45";"7.90";"";"0";
"";"Non";"440";"";"";"Vinaigre Larzamique à l'Eglantine.   Exceptionnel";"SS-RO-UUN-NN-P";"Accueil";"6.45";"7.90";"";"0";
"";"Non";"441";"";"";"Vinaigre Larzamique au Genièvre.  Exceptionnel";"SS-RO-UUN-NN-P";"Accueil";"6.45";"7.90";"";"0";
"";"Non";"442";"";"";"Sel aromatisé aux herbes des Causse";"SS-RO-UUN-NN-P";"Accueil";"6.40";"7.90";"";"0";
"";"Non";"464";"";"";"Pain BIO T065 au levain Baguette (300g)";"OP-MV-UUN-NN-S";"Accueil";"1.20";"1.50";"unité";"0";
"";"Non";"465";"";"";"Pain BIO au levain Baguette aux céréales (300g)";"OP-MV-UUN-NN-S";"Accueil";"1.50";"1.90";"unité";"0";
"";"Non";"466";"";"";"Pain BIO au levain Pavé céréales (350-400g)";"OP-MV-UUN-NN-S";"Accueil";"2.00";"2.50";"unité";"0";
"";"Non";"467";"";"";"Pain BIO au levain Complet (350g)";"OP-MV-UUN-NN-S";"Accueil";"2.00";"2.50";"unité";"0";
"";"Non";"468";"";"";"Pain BIO T080 au levain La Meule (400g)";"OP-MV-UUN-NN-S";"Accueil";"2.48";"3.10";"unité";"0";
"";"Non";"469";"";"";"Pain BIO au levain Le Petit Epeautre (300g)";"OP-MV-UUN-NN-S";"Accueil";"2.48";"3.10";"unité";"0";
"";"Non";"470";"";"";"Pain BIO au levain Maïs Sans Gluten (300g)";"OP-MV-UUN-NN-S";"Accueil";"5.49";"6.90";"unité";"0";
"";"Non";"471";"";"";"Pain BIO au levain Hamburger";"OP-MV-UUN-NN-S";"Accueil";"0.84";"1.05";"unité";"0";
"";"Non";"472";"";"";"Pain BIO au levain Michette aux olives bio";"OP-MV-UUN-NN-S";"Accueil";"2.00";"2.50";"unité";"0";
"";"Non";"473";"";"";"Pain BIO au levain Michette aux tomates séchées";"OP-MV-UUN-NN-S";"Accueil";"2.00";"2.50";"unité";"0";
"";"Non";"474";"";"";"Brioche Parisienne BIO";"OF-MV-UUN-NN-S";"Patisseries";"1.11";"1.40";"unité";"992";
"";"Non";"475";"";"";"Croissant BIO";"OF-MV-UUN-NN-S";"Patisseries";"1.39";"1.75";"unité";"997";
"";"Non";"476";"";"";"Pain au Chocolat BIO";"OF-MV-UUN-NN-S";"Patisseries";"1.50";"1.87";"unité";"0";
"";"Non";"477";"";"";"Tarte aux Pommes BIO";"OF-MV-UUN-NN-S";"Patisseries";"2.60";"3.25";"unité";"998";
"";"Non";"478";"";"";"Duo de Citron BIO";"OF-MV-UUN-NN-S";"Patisseries";"4.48";"5.60";"unité";"1000";
"";"Non";"479";"";"";"Brownie BIO";"OF-MV-UUN-NN-S";"Patisseries";"2.49";"3.10";"unité";"1000";
"";"Non";"480";"";"";"Cookie BIO";"OF-MV-UUN-NN-S";"Patisseries";"2.00";"2.50";"unité";"999";
"";"Non";"481";"";"";"Pizza BIO";"OF-MV-UUN-NN-S";"Patisseries";"3.99";"5.00";"unité";"999";
"";"Non";"482";"";"";"Pissaladière BIO";"OF-MV-UUN-NN-S";"Patisseries";"3.99";"5.00";"unité";"994";
"";"Non";"486";"";"";"Pain BIO T065 au levain aux graines (400g)";"OP-MV-UUN-NN-S";"Accueil";"2.48";"3.10";"unité";"0";
"";"Non";"546";"";"";"Miel de FORET (pot de 500 g )";"DS-RO-UUN-NN-P";"Sucre , Miel, Sirop d'agave";"7.50";"9.40";"kg";"0";
"";"Non";"563";"";"";"Ail violet (à l'hectogramme)";"LB-MN-KDO-NO-P";"Accueil";"0.50";"0.63";"kg";"18";
"";"Non";"590";"";"";"Pains aux céréales et aux graines BIO (achat à la pièce - payé au poids : prix au kg)";"OP-MV-UUN-NN-S";"Accueil";"5.50";"6.90";"kg";"0";
"";"Non";"591";"";"";"Pain de seigle au levain naturel BIO (achat à la pièce - payé au poids : prix au kg)";"OP-MV-UUN-NN-S";"Accueil";"6.50";"8.10";"kg";"0";
"";"Non";"592";"";"";"Pain de Campagne BIO (achat à la pièce - payé au poids : prix au kg)";"OP-MV-UUN-NN-S";"Accueil";"5.20";"6.50";"kg";"0";
"";"Non";"599";"";"";"Pain sans gluten BIO (achat à la pièce - payé au poids : prix au kg)";"OP-MV-UUN-NN-S";"Accueil";"5.30";"6.70";"kg";"0";
"";"Non";"607";"";"";"Riz pure Basmati indien à l'hectogramme (100g)";"SR-RO-KDN-ON-P";"Pâtes, Riz, Autres céréales";"0.26";"0.31";"Kg";"134";
"";"Non";"622";"";"";"Chutney courgettes 100g";"SC-RO-UUN-NN-P";"Epicerie salée";"2.40";"3.00";"";"0";
"";"Non";"652";"";"";"Curcuma Bio - Sri Lanka 30g";"SH-RO-UUN-NN-P";"Accueil";"1.95";"2.45";"";"0";
"";"Non";"1037";"";"";"Clémentines (Espagne)";"FA-MN-KUN-NO";"Accueil";"2.50";"2.50";"";"0";
"";"Non";"1073";"";"";"Courgettes longues (au kg)";"LG-MN-KUN-NN-P";"Accueil";"1.80";"2.25";"";"0";
"";"Non";"1105";"";"";"Tomme de Franche Comté BIO 500g de fromage";"CR-RO-PMN-OO-S";"Fromages et Crèmerie";"0.00";"0.00";"";"0";
"";"Non";"1106";"";"";"Beurre BIO 250g";"CF-RO-UUN-NN-S";"Crèmerie";"1.95";"2.90";"";"0";
"";"Non";"1107";"";"";"Morbier BIO 500g de fromage";"CR-RO-PMN-OO-S";"Fromages et Crèmerie";"0.00";"0.00";"";"0";
"";"Non";"1110";"";"";"Bleu de Gex BIO 500g de fromage";"CR-RO-PMN-OO-S";"Fromages et Crèmerie";"0.00";"0.00";"";"0";
"";"Non";"1111";"3760100720082";"";"Cancoillotte Nature 200g";"CR-RO-UUN-NN";"Fromages et Crèmerie";"3.84";"4.80";"";"0";
"";"Non";"1122";"";"";"Tomates cerises en grappe au Kg Italie";"LT-MV-KUN-NO";"Tomates";"3.53";"4.40";"";"0";
"";"Non";"1323";"";"";"Raclette  200g  fromage Franche Comté";"CR-RO-PCN-OO-S";"Fromages et Crèmerie";"2.96";"4.20";"";"0";
"";"Non";"1372";"";"";"Kaki (au 500g)";"FD-RN-KMN-NO";"Accueil";"1.25";"1.25";"";"3";
"";"Non";"1505";"";"";"Fougasse";"OF-MV-UUN-NN-S";"Accueil";"2.90";"2.90";"";"1";
"";"Non";"1642";"";"";"Muscade noix 20g";"SS-RO-UUN-NN-P";"Accueil";"0.00";"0.00";"";"0";
"";"Non";"1846";"3298651710301";"";"Savon d'Alep 170 gr";"BX-RO-UUN-NN-P";"Accueil";"0.00";"0.00";"";"12";
"";"Non";"1847";"3298651716952";"";"Savon Verveine";"BX-RO-UUN-NN-P";"Accueil";"0.00";"0.00";"";"0";
"Association Châtaignes des Grès";"Oui";"297";"";"";"Châtaignes au naturel (le pot de 430g) ";"DD-RO-UUN-NN-P";"Epicerie sucrée";"6.50";"8.10";"le pot";"0";
"Association Châtaignes des Grès";"Non";"296";"";"";"Crème de châtaignes (le pot de 360g) ";"DD-RO-UUN-NN-P";"Epicerie sucrée";"4.50";"5.70";"le pot";"0";
"Azur Naturel";"Non";"499";"";"";"Spiruline de Grasse (50g)";"MX-RO-UUN-NN-P";"Accueil";"8.50";"10.60";"sachet de 50 g";"0";
"Balestra JP Prod Châteauneuf";"Non";"1362";"";"";"Petits Poivrons verts salade AgR (au100gr)";"LF-MN-KDN-NO-P";"Légumes frais";"0.10";"0.13";"Kg";"29";
"Bioferment Joris Bebin";"Oui";"1835";"";"";"Kombucha artisanal de Grasse";"SA-SI-UUN-NN-P";"Accueil";"2.00";"2.50";"";"2";
"Bionnor ";"Non";"1456";"3760152080080";"";"Dattes Deglet Nour (Boite 1Kg)";"DF-RO-UUN-UN-P";"Fruits frais";"0.00";"11.50";"";"1";
"Bionnor ";"Non";"1481";"";"";"Dattes Deglet Nour  à la pesée (au 100 g)";"DF-RO-KDO-NO";"Fruits frais";"0.00";"1.30";"";"4";
"Biovie";"Oui";"351";"3517360003789";"";"Vinaigre ménager forte concentration 12° 1L";"MX-RO-UUN-NN-P";"Produits Ménagers";"1.36";"1.70";"Litre";"9";
"Biovie";"Oui";"437";"3517360003772";"";"Savon noir liquide, à l'huile de lin 1l";"MX-RO-UUN-NN-P";"Accueil";"2.24";"2.80";"";"4";
"Biovie";"Oui";"456";"3517360018196";"";"Concentré vaisselle, aux huiles essentielles menthe et citron bio 500ml";"MX-RO-UUN-NN-P";"Accueil";"1.55";"1.95";"";"11";
"Biovie";"Oui";"522";"3517360009460";"";"Nettoyant universel lavandin multi usage tout en 1 1L";"MX-RO-UUN-NN-P";"Accueil";"2.71";"3.40";"";"14";
"Biovie";"Oui";"523";"3517360005912";"";"Lessive concentrée tous textiles, à l'aloe vera biologique - hypoallergénique² 2L";"MX-RO-UUN-NN-P";"Accueil";"5.33";"6.70";"";"4";
"Biovie";"Oui";"583";"3517360018189";"";"Concentré vaisselle, à l'aloe vera bio, mains sensibles 500ml";"MX-RO-UUN-NN-P";"Accueil";"1.55";"1.95";"";"11";
"Biovie";"Oui";"584";"3517360000498";"";"Gel WC à l'huile essentielle d'eucalyptus bio 750ml";"MX-RO-UUN-NN-P";"Accueil";"2.25";"2.85";"";"14";
"Biovie";"Oui";"1064";"3517360017946";"";"Vitres et Surfaces à l'Huile Essentielle de Menthe - 750ml";"MX-RO-UUN-NN-P";"Accueil";"2.41";"3.00";"";"7";
"Biovie";"Oui";"1065";"3517360016451";"";"Tablettes lave-vaisselle à l'oxygène actif et bicarbonate de soude, film hydrosoluble";"MX-RO-UUN-NN-P";"Accueil";"4.94";"6.20";"";"6";
"Biovie";"Oui";"1066";"3517360000559";"";"Liquide de rinçage lave-vaisselle, brillance sans trace, à l'huile essentielle de menthe";"MX-RO-UUN-NN-P";"Accueil";"2.33";"2.95";"";"2";
"Biovie";"Oui";"1417";"3517360017052";"";"Concentré vaisselle et mains à l'Aloe Vera bio, hypoallergénique- 1L";"MX-RO-UUN-NN-P";"Accueil";"2.41";"3.00";"";"2";
"Biovie";"Oui";"1418";"3517360018219";"";"Concentré vaisselle au vinaigre,  ultra-dégraissant 500ml";"MX-RO-UUN-NN-P";"Produits Ménagers";"1.55";"1.95";"";"16";
"Biovie";"Non";"352";"3517360003796";"";"Bicarbonate de soude - Grand format 500g";"MX-RO-UUN-NN-P";"Accueil";"2.02";"2.55";"boite de 500g";"0";
"Biovie";"Non";"395";"3517360011234";"";"Cristaux de soude multi usages 500g";"MX-RO-UUN-NN-P";"Accueil";"2.02";"2.55";"boite de 500g";"0";
"Biovie";"Non";"396";"3517360011241";"";"Acide citrique - super- détartrant naturel 350g";"MX-RO-UUN-NN-P";"Accueil";"3.42";"4.30";"";"0";
"BOSELLI Christian";"Oui";"22";"";"";"Champignons de Paris à l'hectogramme (100g)";"LX-MN-KDO-NO-X";"Autres légumes";"0.80";"1.00";"kg";"801";
"BOSELLI Christian";"Non";"100";"";"";"Endives (500g)";"LS-MN-KMN-NO-P";"Légumes frais";"2.50";"3.10";"1 kg";"611";
"Brasserie BadaB";"Oui";"148";"3000001234562";"";"Bière La Grassieuse (75 cl)";"SA-SI-UUN-NN-P";"Vins et bières";"5.00";"6.50";"";"5";
"Brasserie BadaB";"Oui";"150";"3000001234586";"";"Bière La Contrebasse (75 cl)";"SA-SI-UUN-NN-P";"Vins et bières";"5.00";"6.50";"";"1";
"Brasserie BadaB";"Oui";"935";"3000001234616";"";"Bière La Buleria (33 cl)";"SA-SI-UUN-NN-P";"Vins et bières";"2.65";"3.50";"";"0";
"Brasserie BadaB";"Oui";"1763";"";"";"Bière Double Croche  IPA (75 cl)";"SA-SI-UUN-NN-P";"Vins et bières";"5.00";"6.50";"";"1";
"Brasserie BadaB";"Non";"149";"3000001234579";"";"Bière La Clarinette (75 cl)";"SA-SI-UUN-NN-P";"Vins et bières";"5.00";"6.50";"";"0";
"Brasserie BadaB";"Non";"151";"";"";"Bière La Thelonious (75 cl)";"SA-SI-UUN-NN-P";"Vins et bières";"5.00";"6.50";"";"0";
"Brasserie BadaB";"Non";"848";"3000001234616";"";"Bière Funk IPA (75 cl)";"SA-SI-UUN-NN-P";"Vins et bières";"5.00";"6.50";"";"0";
"Brasserie BadaB";"Non";"849";"3000001234593";"";"Bière La Buleria (75 cl)";"SA-SI-UUN-NN-P";"Vins et bières";"5.00";"6.50";"";"0";
"Brasserie BadaB";"Non";"917";"";"";"Pack Bière 6*33 cl";"SA-SI-UUN-NN-P";"Vins et bières";"17.30";"21.00";"";"0";
"Brasserie BadaB";"Non";"931";"3000001234616";"";"Bière La Grassieuse (33 cl)";"SA-SI-UUN-NN-P";"Vins et bières";"2.95";"3.50";"";"0";
"Brasserie BadaB";"Non";"932";"3000001234616";"";"Bière La Clarinette (33 cl)";"SA-SI-UUN-NN-P";"Vins et bières";"2.95";"3.50";"";"0";
"Brasserie BadaB";"Non";"933";"3000001234616";"";"Bière La Contrebasse (33cl)";"SA-SI-UUN-NN-P";"Vins et bières";"2.95";"3.50";"";"0";
"Brasserie BadaB";"Non";"934";"3000001234616";"";"Bière La Thelonious (33 cl)";"SA-SI-UUN-NN-P";"Vins et bières";"2.95";"3.50";"";"0";
"Bryio";"Oui";"877";"4046871003029";"";"Bâtonnets ouatés Bel Nature";"BX-RO-UUN-NN-P";"Produits d'hygiène";"1.04";"1.30";"";"15";
"Bryio";"Oui";"878";"8005892346245";"";"mouchoirs étuis/10 4 plis Grazie Natural";"BX-RO-UUN-NN-P";"Produits d'hygiène";"1.43";"1.80";"";"1";
"Bryio";"Oui";"880";"8005892346313";"";"2 rouleaux essuie-tout compact Grazie Natural";"BX-RO-UUN-NN-P";"Produits Ménagers";"3.14";"3.95";"";"33";
"Bryio";"Oui";"881";"3760138834881";"";"Sac poubelle écologique  20x50 L - La droguerie écologique";"BX-RO-UUN-NN-P";"Produits Ménagers";"2.20";"2.75";"";"3";
"Bryio";"Oui";"882";"3760138830357";"";"Bicarbonate de soude technique  1 kg - La droguerie écologique";"MX-RO-UUN-NN-P";"Produits Ménagers";"2.34";"2.95";"boite de 500g";"5";
"Bryio";"Oui";"883";"782126001009";"";"Tampons NORMAL sans applicateur  Natracare x20";"BX-RO-UUN-NN-P";"Produits d'hygiène";"2.33";"2.90";"";"10";
"Bryio";"Oui";"884";"782126002006";"";"Tampons SUPER sans applicateur  Natracare x20";"BX-RO-UUN-NN-P";"Produits d'hygiène";"2.47";"3.10";"";"9";
"Bryio";"Oui";"885";"782126003003";"";"Protège-slips Mini x30 Natracare";"BX-RO-UUN-NN-P";"Produits d'hygiène";"1.56";"1.95";"";"8";
"Bryio";"Oui";"886";"782126003058";"";"Serviettes Ultra x 14 Natracare";"BX-RO-UUN-NN-P";"Produits d'hygiène";"2.13";"2.70";"";"8";
"Bryio";"Oui";"887";"3483981000691";"";"Café Mélange Equilibré moulu 250g café Michel";"DT-RO-UUN-NN-P";"Café";"2.60";"3.25";"";"13";
"Bryio";"Oui";"888";"3483981001292";"";"café Pérou moulu 250g café Michel MH";"DT-RO-UUN-NN-P";"Café";"3.21";"4.00";"";"13";
"Bryio";"Oui";"890";"3760030725119";"";"Lait d'amande La Mandorle 1L";"DP-RO-UUN-NN-P";"Laits végétaux";"3.07";"3.85";"";"12";
"Bryio";"Oui";"891";"8001860252846";"";"Boisson Avoine 1L Riso Scotti";"DP-RO-UUN-NN-P";"Laits végétaux";"1.15";"1.45";"";"12";
"Bryio";"Oui";"892";"8034063240365";"";"Spaghetti Bionaturae 500g";"SP-RO-UUN-NN-P";"Pâtes, Riz, Autres céréales";"1.20";"1.50";"";"10";
"Bryio";"Oui";"893";"8034063246275";"";"Lasagnes Bionaturae 500g";"SP-RO-UUN-NN-P";"Pâtes, Riz, Autres céréales";"1.39";"1.75";"";"10";
"Bryio";"Oui";"894";"3263670238013";"";"Filets de maquereaux au naturel 113g Phare d'Eckmul";"SC-RO-UUN-NN-P";"Terrine, patés, conserves de poissons";"1.88";"2.35";"";"11";
"Bryio";"Oui";"896";"3263670138016";"";"Sardines au naturel  135g Phare d'Eckmul";"SC-RO-UUN-NN-P";"Terrine, patés, conserves de poissons";"2.43";"3.05";"";"8";
"Bryio";"Oui";"897";"8034063246183";"";"Tomates séchées Bionaturae  190g";"SC-RO-UUN-NN-P";"Huiles , Vinaigres et Condiments";"1.84";"2.30";"";"8";
"Bryio";"Oui";"899";"8034063241263";"";"Tomates pelées 400g  Bionaturae";"SC-RO-UUN-NN-P";"Conserve de légumes et Soupes";"0.78";"1.00";"";"10";
"Bryio";"Oui";"900";"8034063241638";"";"Pulpe de tomates 400g  Bionaturae";"SC-RO-UUN-NN-P";"Conserve de légumes et Soupes";"0.78";"1.00";"";"2";
"Bryio";"Oui";"902";"3760004870029";"";"Sucre de canne en morceaux  1kg Loiret Haentjens";"DS-RO-UUN-NN-P";"Sucre , Miel, Sirop d'agave";"2.98";"3.70";"";"11";
"Bryio";"Oui";"903";"3413880061073";"";"SucreMascobado Bio 1kg Artisan du Monde";"DS-RO-UUN-NN-P";"Sucre , Miel, Sirop d'agave";"5.15";"6.45";"";"2";
"Bryio";"Oui";"905";"3390390000115";"";"Purée d'amande complète Jean Hervé 350g";"DS-RO-UUN-NN-P";"Aide culinaire sucré";"7.14";"8.95";"";"4";
"Bryio";"Oui";"906";"3483981002053";"";"café Honduras grain 500g  café Michel MH";"DT-RO-UUN-NN-P";"Café";"6.30";"7.85";"";"10";
"Bryio";"Oui";"910";"8034063245858";"";"Pates Ruote  Bionaturae 500g";"SP-RO-UUN-NN-P";"Pâtes, Riz, Autres céréales";"1.20";"1.50";"";"11";
"Bryio";"Oui";"911";"8034063246381";"";"Pates Pennoni Bionaturae 500g";"SP-RO-UUN-NN-P";"Pâtes, Riz, Autres céréales";"1.26";"1.55";"";"10";
"Bryio";"Oui";"915";"3760138831460";"";"Percarbonate de soude Blanchissant  1 kg - La droguerie écologique";"MX-RO-UUN-NN-P";"Produits Ménagers";"3.59";"4.50";"boite de 1 Kg";"7";
"Bryio";"Oui";"916";"4046871002992";"";"Disque à démaquiller";"BX-RO-UUN-NN-P";"Cosmétique";"1.12";"1.40";"";"8";
"Bryio";"Oui";"943";"3700019520601";"";"Chips de banane plantain BIO salées 100gr";"SB-RO-UUN-NN-P";"Biscuits apéritif";"1.10";"1.40";"";"0";
"Bryio";"Oui";"944";"8718754505048";"";"Chips houmous romarin  75gr";"SB-RO-UUN-NN-P";"Biscuits apéritif";"1.49";"1.85";"";"10";
"Bryio";"Oui";"945";"3425476103111";"";"Terrine Bio porc olives herbes de Provence 135 Gr";"SC-RO-UUN-NN-P";"Terrine, patés, conserves de poissons";"4.00";"5.00";"";"6";
"Bryio";"Oui";"946";"3263670235616";"";"Maquereaux filets hyposel citron basilic  130gr";"SC-RO-UUN-NN-P";"Terrine, patés, conserves de poissons";"2.34";"2.95";"";"14";
"Bryio";"Oui";"947";"8034063245827";"";"Pates italiennes blanches GIGLI Bionaturae 500g";"SP-RO-UUN-NN-P";"Pâtes, Riz, Autres céréales";"1.26";"1.55";"";"10";
"Bryio";"Oui";"948";"8034063245803";"";"Pâtes Fusilli sans gluten - 500 g Bio Naturae";"SP-RO-UUN-NN-P";"Pâtes, Riz, Autres céréales";"2.09";"2.60";"";"6";
"Bryio";"Oui";"949";"8034063245797";"";"Spaghetti sans gluten  Mais/ Riz 500 g Bio Naturae";"SP-RO-UUN-NN-P";"Pâtes, Riz, Autres céréales";"2.09";"2.60";"";"11";
"Bryio";"Oui";"952";"8005892346191";"";"Papier Toilette 3 Plis x4 Grazie Natural";"BX-RO-UUN-NN-P";"Produits d'hygiène";"3.14";"3.95";"";"20";
"Bryio";"Oui";"955";"3417960039037";"";"Herbes de Provence pot 80gr";"SS-RO-UUN-NN-P";"Aide culinaire salé";"4.00";"5.00";"";"4";
"Bryio";"Oui";"956";"3700625400601";"";"Ratatouille à la catalane 630gr";"SC-RO-UUN-NN-P";"Conserve de légumes et Soupes";"3.86";"4.85";"";"6";
"Bryio";"Oui";"957";"3263670014457";"";"Sardines sauce tomate à l'huile d'olive MSC  135g";"SC-RO-UUN-NN-P";"Terrine, patés, conserves de poissons";"2.61";"3.25";"";"16";
"Bryio";"Oui";"959";"3263670451016";"";"Thon listao au naturel et touche de citron 112gr";"SC-RO-UUN-NN-P";"Terrine, patés, conserves de poissons";"2.28";"2.85";"";"8";
"Bryio";"Oui";"960";"3263670041453";"";"Thon blanc germon entier huile olive 160gr MSC";"SC-RO-UUN-NN-P";"Terrine, patés, conserves de poissons";"5.28";"6.60";"";"11";
"Bryio";"Oui";"961";"3417960022985";"";"Poivre noir grains 50gr";"SS-RO-UUN-NN-P";"Aide culinaire salé";"2.92";"3.65";"";"5";
"Bryio";"Oui";"962";"3417960022992";"";"Poivre Noir moulu 45gr";"SS-RO-UUN-NN-P";"Accueil";"2.75";"3.45";"";"3";
"Bryio";"Oui";"963";"8001860252938";"";"Boisson Riz & Quinoa 1L";"DP-RO-UUN-NN-P";"Laits végétaux";"1.15";"1.45";"";"11";
"Bryio";"Oui";"964";"8001860251320";"";"Boisson végétale Avoine Chocolat Calcium 1L";"DP-RO-UUN-NN-P";"Laits végétaux";"1.41";"1.75";"";"14";
"Bryio";"Oui";"983";"3301591000859";"";"Jus pomme framboise 75 cl Coteaux Nantais";"DJ-RO-UUN-NN";"Jus de fruits";"2.99";"3.75";"";"7";
"Bryio";"Oui";"984";"3301591002167";"";"Jus de pommes 75 cl - Coteaux Nantais";"DJ-RO-UUN-NN";"Jus de fruits";"1.97";"2.45";"";"7";
"Bryio";"Oui";"985";"3483981301620";"";"Pur Cacao Bio  non sucré Terra Etica 200g";"DC-RO-UUN-NN";"Chocolat";"3.31";"4.15";"";"4";
"Bryio";"Oui";"986";"3483981301637";"";"Chocolat en poudre instantané 400 g Terra Etica";"DC-RO-UUN-NN";"Chocolat";"3.60";"4.50";"";"6";
"Bryio";"Oui";"987";"3390390000160";"";"Purée de cacahuète  Bio 700G Jean Hervé";"DC-RO-UUN-NN";"Aide culinaire salé";"5.92";"7.40";"";"8";
"Bryio";"Oui";"988";"3267110001588";"";"Purée de Sésame 1/2 Complet Bio de Perl'Amande  630g";"SH-RO-UUN-NN";"Aide culinaire salé";"5.52";"6.90";"";"4";
"Bryio";"Oui";"990";"3760005727810";"";"Jus d'orange 1L Frugibio";"DJ-RO-UUN-NN";"Jus de fruits";"2.19";"2.75";"";"2";
"Bryio";"Oui";"994";"5400313040116";"";"Chips nature Trafo 125 G";"SB-RO-UUN-NN-P";"Biscuits apéritif";"1.45";"1.80";"";"22";
"Bryio";"Oui";"1010";"8034063246008";"";"Trio Poivrons grillés 190 G";"SC-RO-UUN-NN-P";"Conserve de légumes et Soupes";"2.47";"3.10";"";"0";
"Bryio";"Oui";"1011";"8712423020450";"";"Mais Doux 340 G Bionova";"SC-RO-UUN-NN-P";"Epicerie salée";"1.47";"1.85";"";"8";
"Bryio";"Oui";"1012";"3421557902017";"";"Protéines de Soja petit 300G Grillons D'or";"SR-RO-UUN-NN-P";"Epicerie salée";"2.48";"3.10";"";"6";
"Bryio";"Oui";"1013";"8718754505024";"";"Chips houmous nature 75gr Trafo Bio";"SB-RO-UUN-NN-P";"Biscuits apéritif";"1.49";"1.85";"";"15";
"Bryio";"Oui";"1014";"3268350120237";"";"Cookies aux pépites de chocolat 175gr Bio Le Moulin du Pivert";"SB-RO-UUN-NN-P";"Biscuits";"2.12";"2.65";"";"1";
"Bryio";"Oui";"1015";"3268350120305";"";"Petit beurre au lait cru 155gr Bio Le Moulin du Pivert";"DP-RO-UUN-NN-P";"Epicerie sucrée";"1.67";"2.10";"";"15";
"Bryio";"Oui";"1016";"3464660000812";"";"Lait Hydratant Corporel à l' Aloé Vera 250ML Bio PUR'ALOÉ";"SB-RO-UUN-NN-P";"Soins";"6.65";"8.30";"";"7";
"Bryio";"Oui";"1033";"3263670335613";"";"Thon albacore au naturel hyposodé 112gr";"SC-RO-UUN-NN-P";"Terrine, patés, conserves de poissons";"3.06";"3.80";"";"0";
"Bryio";"Oui";"1036";"3258590001373";"";"Chocolat tablette  noir 95% 90gr- Dardenne";"DC-RO-UUN-NN";"Chocolat";"2.46";"3.05";"";"11";
"Bryio";"Oui";"1053";"3700019520960";"";"Pâte de Curry Vert - 120 G- Racines Bio";"SH-RO-UUN-NN-P";"Aide culinaire salé";"3.28";"4.10";"";"12";
"Bryio";"Oui";"1054";"3662217007073";"";"Oriculi en bambou (non bio) - Avril Beauté";"BX-RO-UUN-NN";"Produits d'hygiène";"2.53";"3.20";"";"7";
"Bryio";"Oui";"1055";"3176800001398";"";"Poudre de sirop d’agave BIO - sachet 200g - Nat Ali";"DS-RO-UUN-NN";"Sucre , Miel, Sirop d'agave";"2.86";"3.60";"";"5";
"Bryio";"Oui";"1056";"3176800001282";"";"Poudre à Lever - 50 G- Nat- Ali";"DS-RO-UUN-NN";"Aide culinaire sucré";"0.80";"1.00";"";"5";
"Bryio";"Oui";"1060";"3483981002756";"";"Café dosette souple d'Ethiopie Café Michel 125  G";"DT-RO-UUN-NN";"Café";"2.68";"3.35";"";"9";
