id_product;name;reference;price;wholesale_price;active;shopname;supp;id_shop_default;id_image;name_category;price_final;is_virtual;nb_downloadable;sav_quantity;badge_danger;
"654";"Moulin poivre noir BIO 50gr - Sri Lanka";"SH-RO-UUN-NN-P";"3.900000";"3.100000";"0";"Coop La Meute";"SOLIDARMONDE";"1";"931";"Accueil";"0";"0";"";"0";"1";
"655";"Sucre en morceaux BIO MH, 500g";"DS-RO-UUN-NN-P";"3.450000";"2.740000";"0";"Coop La Meute";"SOLIDARMONDE";"1";"932";"Accueil";"0";"0";"";"0";"1";
"656";"Sucre en poudre BIO , 500g";"DS-RO-UUN-NN-P";"2.750000";"2.200000";"0";"Coop La Meute";"SOLIDARMONDE";"1";"933";"Accueil";"0";"0";"";"0";"1";
"657";"Cannelle  BIO 30gr - Sri Lanka";"SH-RO-UUN-NN-P";"3.100000";"2.450000";"0";"Coop La Meute";"SOLIDARMONDE";"1";"934";"Accueil";"0";"0";"";"0";"1";
"658";"Chips manioc salées - 50g - Costa Rica";"SL-RO-UUN-NN-P";"1.250000";"0.990000";"0";"Coop La Meute";"SOLIDARMONDE";"1";"935";"Accueil";"0";"0";"";"0";"1";
"659";"Chips banane salées - 85g - C. Rica";"SL-RO-UUN-NN-P";"2.000000";"1.600000";"0";"Coop La Meute";"SOLIDARMONDE";"1";"936";"Accueil";"0";"0";"";"0";"1";
"660";"Sablés épeautre cacao Bio 125gr";"SB-RO-UUN-NN-P";"2.400000";"1.900000";"0";"Coop La Meute";"SOLIDARMONDE";"1";"937";"Accueil";"0";"0";"";"1";"0";
"661";"Pommes Gala du Val(au kg)";"FP-MO-KUN-NO-P";"2.300000";"1.740000";"0";"Coop La Meute";"GAEC du Val Alpin";"1";"938";"Fruits frais";"0";"0";"";"0";"1";
"662";"Jus d'orange tetrapack";"DJ-RO-UUN-NN-P";"2.650000";"2.010000";"0";"Coop La Meute";"SOLIDARMONDE";"1";"939";"Accueil";"0";"0";"";"0";"1";
"663";"Garam Masala";"SH-RO-UUN-NN-P";"2.500000";"1.980000";"0";"Coop La Meute";"SOLIDARMONDE";"1";"940";"Accueil";"0";"0";"";"0";"1";
"664";"Curry Fort";"SH-RO-UUN-NN-P";"2.290000";"1.830000";"0";"Coop La Meute";"SOLIDARMONDE";"1";"941";"Accueil";"0";"0";"";"0";"1";
