id_product;name;reference;ean13;price;wholesale_price;active;supp;sav_quantity;badge_danger;
"1839";"Tome Fleurie de brebis . Portion de 200 G environ  Echange Paysan";"CR-RO-PQN-OO-S";"";"4.500000";"3.620000";"0";"Echange Paysan 05 - C&E";"2";"0";
"1840";"Café Pérou bio moulu 1kg";"DT-RO-UUN-NN";"3413880004216";"17.800000";"14.220000";"1";"Bryio";"9";"0";
"1841";"Tablette chocolat noir à patisser 71% Dardenne 200g";"DC-RO-UUN-NN-P";"3258590000994";"4.400000";"3.520000";"1";"Bryio";"10";"0";
"1842";"Tablette chocolat noir noisettes 71% Dardenne 180g";"DC-RO-UUN-NN";"3258590000352";"5.500000";"4.390000";"1";"Bryio";"14";"0";
"1843";"Muesli fruits 500g";"DP-RO-UUN-NN-P";"3421557920240";"2.750000";"2.180000";"1";"Bryio";"8";"0";
"1844";"Muesli sans gluten 500g";"DP-RO-UUN-NN-P";"3421557112003";"4.350000";"3.470000";"1";"Bryio";"4";"0";
"1845";"Mouchoirs écologique boîte 80 feuilles 3 épaisseurs";"BX-RO-UUN-NN-P";"8005892347020";"1.750000";"1.420000";"1";"Bryio";"7";"0";
"1846";"Savon d'Alep 170 gr";"BX-RO-UUN-NN-P";"3298651710301";"0.000000";"0.000000";"0";"";"12";"0";
"1847";"Savon Verveine";"BX-RO-UUN-NN-P";"3298651716952";"0.000000";"0.000000";"0";"";"0";"1";
"1848";"Savonnette 150g verveine";"BX-RO-UUN-NN-P";"3298651716952";"2.600000";"2.090000";"1";"MARIUS FABRE";"1";"0";
"1849";"Savon d'Alep 170g";"BX-RO-UUN-NN-P";"3298651710301";"5.840000";"4.670000";"1";"MARIUS FABRE";"7";"0";
"1850";"Savon liquide Marseille liquide  recharge  1 L Lavande";"BX-RO-UUN-NN-P";"3298651700876";"9.780000";"7.820000";"1";"MARIUS FABRE";"4";"0";
"1851";"Coulis de Ketchup Bio 50 cl Echange paysans";"SC-RO-UUN-NN-P";"";"3.950000";"3.150000";"0";"Echange Paysan 05 - C&E";"0";"1";
"1854";"Betteraves AR en botte";"LR-MN-LUN-NN-P";"";"1.600000";"1.300000";"0";"M MOUSSA MANNAI ";"0";"1";
"1855";"Radis ronds La Roquette AR (à la botte)";"LR-MN-LUN-NN-P";"";"1.100000";"0.790000";"0";"M MOUSSA MANNAI ";"988";"0";
"1856";"Quetches (au 500G)   Echange Paysans- EARL Jacob";"FD-MN-KMN-NO-P";"";"1.950000";"1.570000";"0";"Echange Paysan 05 - F&L";"9";"0";
"1857";"Confiture de groseille bio 370 ml";"DD-RO-UUN-NN-P";"";"5.600000";"4.500000";"1";"GIRAUD Anne";"5";"0";
"1858";"Patate douce BIO France (au kg)";"LX-MN-KUN-NO";"";"3.700000";"2.940000";"0";"GAEC Noble";"0";"1";
"1859";"Maté drainant  100g feuilles Sol à Sol";"DT-RN-UUN-NN-N";"";"4.900000";"3.920000";"1";"Epice Scop";"2";"0";
"1860";"Maté vert 100g feuilles Sol à Sol";"DT-RN-UUN-NN-N";"";"3.500000";"2.810000";"0";"Epice Scop";"0";"1";
"1862";"Langue d’oiseau semi-complète 500g Lazzaretti BIO";"SP-RO-UUN-NN-P";"";"2.000000";"1.580000";"1";"Epice Scop";"4";"0";
"1863";"Crozet au sarrasin 40 % 500g Lazzaretti BIO";"SP-RO-UUN-NN-P";"";"3.600000";"2.900000";"0";"Epice Scop";"0";"1";
"1864";"Raisin Framboise non traité par 500 G";"FR-MN-KMN-NO-P";"";"2.700000";"2.100000";"0";"De la Pousse à l'Assiette-	F&L";"8";"0";
"1865";"Lessive en poudre 2.4 kg";"MX-RN-UUN-NN";"4007547100916";"12.600000";"10.070000";"1";"Bryio";"6";"0";
"1866";"Jus de pomme  AB BIB 3l";"DJ-RO-UUN-NN";"3301591001481";"7.200000";"5.770000";"1";"Bryio";"6";"0";
"1867";"Gélatine bio feuille alimentaire 6x11g";"DS-RN-UUN-ON";"3278584960066";"1.900000";"1.510000";"1";"Bryio";"21";"0";
"1868";"Haricots coco blancs bte 400g";"SC-RO-UUN-NN-P";"8034063241485";"1.300000";"1.010000";"1";"Bryio";"12";"0";
"1869";"Coeurs d'artichauts 190g";"SC-RO-UUN-NN-P";"8034063246565";"3.100000";"2.470000";"1";"Bryio";"10";"0";
"1870";"Haricots rouge 400g";"SC-RO-UUN-NN-P";"8034063241553";"1.300000";"1.010000";"1";"Bryio";"3";"0";
"1871";"Lentilles blondes 400g";"SC-RO-UUN-NN-P";"8034063240549";"1.300000";"1.010000";"1";"Bryio";"7";"0";
"1872";"Pois chiches 400g";"SC-RO-UUN-NN-P";"8034063241492";"1.300000";"1.010000";"1";"Bryio";"13";"0";
"1873";"Thon albacore pêché canne au naturel 280g";"SC-RO-UUN-NN-P";"3263670335712";"8.500000";"6.820000";"1";"Bryio";"10";"0";
"1874";"Poireaux  au 500g AR";"LB-MN-KMN-NO-P";"";"1.850000";"1.480000";"1";"M MOUSSA MANNAI ";"421";"0";
"1875";"Courge violon vendue au kg. AR";"LG-MN-KUN-NO";"";"1.850000";"1.480000";"0";"M MOUSSA MANNAI ";"0";"1";
"1876";"Raisin framboise";"FR-MN-KMN-NO-P";"";"1.500000";"0.000000";"0";"";"2";"0";
